event,division,game_id,team_1,team_1_score,team_2,team_2_score,game_date,gender,postseason,season,winner,loser,win_score,lose_score
Dust Bowl 2020,College,248319,Truman State,13,Grinnell,6,1/1/20,Women,0,2020,Truman State,Grinnell,13,6
Dust Bowl 2020,College,248320,Kansas,14,Nebraska,11,1/1/20,Women,0,2020,Kansas,Nebraska,14,11
Dust Bowl 2020,College,248321,Truman State,12,John Brown,11,1/1/20,Women,0,2020,Truman State,John Brown,12,11
Dust Bowl 2020,College,248322,Truman State,11,Nebraska,4,1/1/20,Women,0,2020,Truman State,Nebraska,11,4
Dust Bowl 2020,College,248323,John Brown,12,Grinnell,11,1/1/20,Women,0,2020,John Brown,Grinnell,12,11
Dust Bowl 2020,College,248324,Nebraska,6,Grinnell,8,1/1/20,Women,0,2020,Grinnell,Nebraska,8,6
Dust Bowl 2020,College,248325,Truman State,9,Kansas,11,1/1/20,Women,0,2020,Kansas,Truman State,11,9
Dust Bowl 2020,College,248326,John Brown,11,Nebraska,5,1/1/20,Women,0,2020,John Brown,Nebraska,11,5
Dust Bowl 2020,College,248327,John Brown,11,Kansas,15,1/1/20,Women,0,2020,Kansas,John Brown,15,11
Dust Bowl 2020,College,248328,Denver,8,Oklahoma,5,1/1/20,Women,0,2020,Denver,Oklahoma,8,5
Dust Bowl 2020,College,248329,Air Force,7,Tulsa,10,1/1/20,Women,0,2020,Tulsa,Air Force,10,7
Dust Bowl 2020,College,248330,Missouri,4,Colorado School of Mines,12,1/1/20,Women,0,2020,Colorado School of Mines,Missouri,12,4
Dust Bowl 2020,College,248331,Denver,10,Tulsa,7,1/1/20,Women,0,2020,Denver,Tulsa,10,7
Dust Bowl 2020,College,248332,Air Force,8,Missouri,6,1/1/20,Women,0,2020,Air Force,Missouri,8,6
Dust Bowl 2020,College,248333,Oklahoma,8,Colorado School of Mines,7,1/1/20,Women,0,2020,Oklahoma,Colorado School of Mines,8,7
Dust Bowl 2020,College,248334,Denver,9,Air Force,8,1/1/20,Women,0,2020,Denver,Air Force,9,8
Dust Bowl 2020,College,248335,Oklahoma,6,Missouri,1,1/1/20,Women,0,2020,Oklahoma,Missouri,6,1
Dust Bowl 2020,College,248336,Tulsa,9,Colorado School of Mines,7,1/1/20,Women,0,2020,Tulsa,Colorado School of Mines,9,7
Dust Bowl 2020,College,248337,Denver,7,Missouri,2,1/1/20,Women,0,2020,Denver,Missouri,7,2
Dust Bowl 2020,College,248338,Air Force,9,Colorado School of Mines,7,1/1/20,Women,0,2020,Air Force,Colorado School of Mines,9,7
Dust Bowl 2020,College,248339,Oklahoma,6,Tulsa,8,1/1/20,Women,0,2020,Tulsa,Oklahoma,8,6
Dust Bowl 2020,College,248340,Denver,15,Colorado School of Mines,0,1/1/20,Women,0,2020,Denver,Colorado School of Mines,15,0
Dust Bowl 2020,College,248341,Air Force,11,Oklahoma,6,1/1/20,Women,0,2020,Air Force,Oklahoma,11,6
Dust Bowl 2020,College,248342,Missouri,2,Tulsa,15,1/1/20,Women,0,2020,Tulsa,Missouri,15,2
Dust Bowl 2020,College,248343,Kansas,15,Oklahoma,5,1/1/20,Women,0,2020,Kansas,Oklahoma,15,5
Dust Bowl 2020,College,248344,Tulsa,8,John Brown,15,1/1/20,Women,0,2020,John Brown,Tulsa,15,8
Dust Bowl 2020,College,248345,Truman State,12,Air Force,4,1/1/20,Women,0,2020,Truman State,Air Force,12,4
Dust Bowl 2020,College,248346,Denver,12,Grinnell,9,1/1/20,Women,0,2020,Denver,Grinnell,12,9
Dust Bowl 2020,College,248347,Kansas,14,John Brown,7,1/1/20,Women,0,2020,Kansas,John Brown,14,7
Dust Bowl 2020,College,248348,Truman State,12,Denver,5,1/1/20,Women,0,2020,Truman State,Denver,12,5
Dust Bowl 2020,College,248349,Kansas,10,Truman State,6,1/1/20,Women,0,2020,Kansas,Truman State,10,6
Dust Bowl 2020,College,248351,Air Force,15,Grinnell,5,1/1/20,Women,0,2020,Air Force,Grinnell,15,5
Dust Bowl 2020,College,248353,John Brown,5,Denver,9,1/1/20,Women,0,2020,Denver,John Brown,9,5
Dust Bowl 2020,College,248355,Nebraska,8,Colorado School of Mines,1,1/1/20,Women,0,2020,Nebraska,Colorado School of Mines,8,1
Dust Bowl 2020,College,248356,Nebraska,10,Missouri,9,1/1/20,Women,0,2020,Nebraska,Missouri,10,9
Big D in lil d 2020 (Women),College,248375,Texas-Dallas,8,Rice,5,1/1/20,Women,0,2020,Texas-Dallas,Rice,8,5
Big D in lil d 2020 (Women),College,248376,Texas State,10,Colorado B,4,1/1/20,Women,0,2020,Texas State,Colorado B,10,4
Big D in lil d 2020 (Women),College,248377,Texas A&M,13,North Texas,1,1/1/20,Women,0,2020,Texas A&M,North Texas,13,1
Big D in lil d 2020 (Women),College,248378,Texas-Dallas,8,Texas State,5,1/1/20,Women,0,2020,Texas-Dallas,Texas State,8,5
Big D in lil d 2020 (Women),College,248379,Rice,5,Texas A&M,8,1/1/20,Women,0,2020,Texas A&M,Rice,8,5
Big D in lil d 2020 (Women),College,248380,Colorado B,11,North Texas,1,1/1/20,Women,0,2020,Colorado B,North Texas,11,1
Big D in lil d 2020 (Women),College,248381,Texas-Dallas,9,Texas A&M,5,1/1/20,Women,0,2020,Texas-Dallas,Texas A&M,9,5
Big D in lil d 2020 (Women),College,248382,Texas State,13,North Texas,5,1/1/20,Women,0,2020,Texas State,North Texas,13,5
Big D in lil d 2020 (Women),College,248383,Rice,9,Colorado B,5,1/1/20,Women,0,2020,Rice,Colorado B,9,5
Big D in lil d 2020 (Women),College,248384,Texas-Dallas,13,North Texas,4,1/1/20,Women,0,2020,Texas-Dallas,North Texas,13,4
Big D in lil d 2020 (Women),College,248385,Texas State,11,Rice,5,1/1/20,Women,0,2020,Texas State,Rice,11,5
Big D in lil d 2020 (Women),College,248386,Texas A&M,8,Colorado B,7,1/1/20,Women,0,2020,Texas A&M,Colorado B,8,7
Big D in lil d 2020 (Women),College,248387,Texas-Dallas,9,Colorado B,4,1/1/20,Women,0,2020,Texas-Dallas,Colorado B,9,4
Big D in lil d 2020 (Women),College,248388,Texas State,7,Texas A&M,9,1/1/20,Women,0,2020,Texas A&M,Texas State,9,7
Big D in lil d 2020 (Women),College,248389,Rice,13,North Texas,5,1/1/20,Women,0,2020,Rice,North Texas,13,5
Big D in lil d 2020 (Women),College,248390,Trinity,10,Baylor,7,1/1/20,Women,0,2020,Trinity,Baylor,10,7
Big D in lil d 2020 (Women),College,248391,Colorado State,13,Texas Christian,5,1/1/20,Women,0,2020,Colorado State,Texas Christian,13,5
Big D in lil d 2020 (Women),College,248392,Arkansas,3,Texas B,9,1/1/20,Women,0,2020,Texas B,Arkansas,9,3
Big D in lil d 2020 (Women),College,248393,Trinity,5,Colorado State,9,1/1/20,Women,0,2020,Colorado State,Trinity,9,5
Big D in lil d 2020 (Women),College,248394,Baylor,8,Arkansas,5,1/1/20,Women,0,2020,Baylor,Arkansas,8,5
Big D in lil d 2020 (Women),College,248395,Texas Christian,4,Texas B,8,1/1/20,Women,0,2020,Texas B,Texas Christian,8,4
Big D in lil d 2020 (Women),College,248396,Trinity,8,Arkansas,6,1/1/20,Women,0,2020,Trinity,Arkansas,8,6
Big D in lil d 2020 (Women),College,248397,Colorado State,10,Texas B,3,1/1/20,Women,0,2020,Colorado State,Texas B,10,3
Big D in lil d 2020 (Women),College,248398,Baylor,6,Texas Christian,7,1/1/20,Women,0,2020,Texas Christian,Baylor,7,6
Big D in lil d 2020 (Women),College,248399,Trinity,7,Texas B,6,1/1/20,Women,0,2020,Trinity,Texas B,7,6
Big D in lil d 2020 (Women),College,248400,Colorado State,13,Baylor,4,1/1/20,Women,0,2020,Colorado State,Baylor,13,4
Big D in lil d 2020 (Women),College,248401,Arkansas,4,Texas Christian,8,1/1/20,Women,0,2020,Texas Christian,Arkansas,8,4
Big D in lil d 2020 (Women),College,248402,Trinity,8,Texas Christian,6,1/1/20,Women,0,2020,Trinity,Texas Christian,8,6
Big D in lil d 2020 (Women),College,248403,Colorado State,13,Arkansas,5,1/1/20,Women,0,2020,Colorado State,Arkansas,13,5
Big D in lil d 2020 (Women),College,248404,Baylor,6,Texas B,8,1/1/20,Women,0,2020,Texas B,Baylor,8,6
Big D in lil d 2020 (Women),College,248405,Texas State,5,Trinity,8,1/1/20,Women,0,2020,Trinity,Texas State,8,5
Big D in lil d 2020 (Women),College,248406,Texas B,8,Texas A&M,12,1/1/20,Women,0,2020,Texas A&M,Texas B,12,8
Big D in lil d 2020 (Women),College,248407,Texas-Dallas,13,Trinity,3,1/1/20,Women,0,2020,Texas-Dallas,Trinity,13,3
Big D in lil d 2020 (Women),College,248408,Colorado State,12,Texas A&M,5,1/1/20,Women,0,2020,Colorado State,Texas A&M,12,5
Big D in lil d 2020 (Women),College,248409,Texas-Dallas,9,Colorado State,7,1/1/20,Women,0,2020,Texas-Dallas,Colorado State,9,7
Big D in lil d 2020 (Women),College,248410,Trinity,11,Texas A&M,13,1/1/20,Women,0,2020,Texas A&M,Trinity,13,11
Big D in lil d 2020 (Women),College,248411,Texas State,9,Texas B,6,1/1/20,Women,0,2020,Texas State,Texas B,9,6
Big D in lil d 2020 (Women),College,248412,North Texas,8,Baylor,11,1/1/20,Women,0,2020,Baylor,North Texas,11,8
Big D in lil d 2020 (Women),College,248413,Arkansas,3,Colorado B,7,1/1/20,Women,0,2020,Colorado B,Arkansas,7,3
Big D in lil d 2020 (Women),College,248414,Rice,13,Baylor,6,1/1/20,Women,0,2020,Rice,Baylor,13,6
Big D in lil d 2020 (Women),College,248415,Texas Christian,5,Colorado B,10,1/1/20,Women,0,2020,Colorado B,Texas Christian,10,5
Big D in lil d 2020 (Women),College,248416,Rice,5,Colorado B,7,1/1/20,Women,0,2020,Colorado B,Rice,7,5
Big D in lil d 2020 (Women),College,248418,North Texas,7,Arkansas,9,1/1/20,Women,0,2020,Arkansas,North Texas,9,7
Cutlass Classic 2020,College,248447,Maryland,6,East Carolina,7,1/1/20,Women,0,2020,East Carolina,Maryland,7,6
Cutlass Classic 2020,College,248448,Catholic,10,Charleston,5,1/1/20,Women,0,2020,Catholic,Charleston,10,5
Cutlass Classic 2020,College,248449,Kennesaw State,9,Maryland,4,1/1/20,Women,0,2020,Kennesaw State,Maryland,9,4
Cutlass Classic 2020,College,248450,George Washington,9,Charleston,5,1/1/20,Women,0,2020,George Washington,Charleston,9,5
Cutlass Classic 2020,College,248451,Catholic,6,East Carolina,5,1/1/20,Women,0,2020,Catholic,East Carolina,6,5
Cutlass Classic 2020,College,248452,Kennesaw State,6,George Washington,11,1/1/20,Women,0,2020,George Washington,Kennesaw State,11,6
Cutlass Classic 2020,College,248453,North Georgia,13,East Carolina,2,1/1/20,Women,0,2020,North Georgia,East Carolina,13,2
Cutlass Classic 2020,College,248454,Maryland,11,Charleston,3,1/1/20,Women,0,2020,Maryland,Charleston,11,3
Cutlass Classic 2020,College,248455,Maryland,8,Catholic,5,1/1/20,Women,0,2020,Maryland,Catholic,8,5
Cutlass Classic 2020,College,248456,North Georgia,5,George Washington,9,1/1/20,Women,0,2020,George Washington,North Georgia,9,5
Cutlass Classic 2020,College,248457,East Carolina,11,Charleston,5,3/1/20,Women,0,2020,East Carolina,Charleston,11,5
Cutlass Classic 2020,College,248458,Kennesaw State,12,Catholic,3,3/1/20,Women,0,2020,Kennesaw State,Catholic,12,3
Cutlass Classic 2020,College,248459,Maryland,8,George Washington,13,3/1/20,Women,0,2020,George Washington,Maryland,13,8
Cutlass Classic 2020,College,248460,North Georgia,13,Charleston,1,3/1/20,Women,0,2020,North Georgia,Charleston,13,1
Cutlass Classic 2020,College,248461,Kennesaw State,10,East Carolina,3,3/1/20,Women,0,2020,Kennesaw State,East Carolina,10,3
Cutlass Classic 2020,College,248462,Maryland,9,North Georgia,6,3/1/20,Women,0,2020,Maryland,North Georgia,9,6
Cutlass Classic 2020,College,248463,Catholic,4,George Washington,11,3/1/20,Women,0,2020,George Washington,Catholic,11,4
Cutlass Classic 2020,College,248464,Kennesaw State,9,North Georgia,2,1/1/20,Women,0,2020,Kennesaw State,North Georgia,9,2
Cutlass Classic 2020,College,248465,George Washington,12,East Carolina,5,1/1/20,Women,0,2020,George Washington,East Carolina,12,5
Cutlass Classic 2020,College,248466,Catholic,7,North Georgia,6,1/1/20,Women,0,2020,Catholic,North Georgia,7,6
Cutlass Classic 2020,College,248467,Kennesaw State,11,Charleston,1,1/1/20,Women,0,2020,Kennesaw State,Charleston,11,1
Cutlass Classic 2020,College,248468,George Washington,11,Kennesaw State,6,3/1/20,Women,0,2020,George Washington,Kennesaw State,11,6
Cutlass Classic 2020,College,248469,Maryland,15,Catholic,4,3/1/20,Women,0,2020,Maryland,Catholic,15,4
Cutlass Classic 2020,College,248470,North Georgia,12,East Carolina,8,3/1/20,Women,0,2020,North Georgia,East Carolina,12,8
UMBC Safari Party 2020,College,248487,MIT,13,Goucher,0,1/1/20,Women,0,2020,MIT,Goucher,13,0
UMBC Safari Party 2020,College,248488,Towson,10,West Virginia,5,1/1/20,Women,0,2020,Towson,West Virginia,10,5
UMBC Safari Party 2020,College,248489,MIT,13,SUNY-Buffalo,1,1/1/20,Women,0,2020,MIT,SUNY-Buffalo,13,1
UMBC Safari Party 2020,College,248490,Towson,13,Goucher,1,1/1/20,Women,0,2020,Towson,Goucher,13,1
UMBC Safari Party 2020,College,248491,Goucher,0,West Virginia,12,1/1/20,Women,0,2020,West Virginia,Goucher,12,0
UMBC Safari Party 2020,College,248492,Towson,13,SUNY-Buffalo,0,1/1/20,Women,0,2020,Towson,SUNY-Buffalo,13,0
UMBC Safari Party 2020,College,248493,MIT,9,West Virginia,2,1/1/20,Women,0,2020,MIT,West Virginia,9,2
UMBC Safari Party 2020,College,248494,SUNY-Buffalo,4,Goucher,5,1/1/20,Women,0,2020,Goucher,SUNY-Buffalo,5,4
UMBC Safari Party 2020,College,248495,MIT,6,Towson,11,1/1/20,Women,0,2020,Towson,MIT,11,6
UMBC Safari Party 2020,College,248496,SUNY-Buffalo,1,West Virginia,13,1/1/20,Women,0,2020,West Virginia,SUNY-Buffalo,13,1
UMBC Safari Party 2020,College,248497,Lehigh,12,Johns Hopkins,2,1/1/20,Women,0,2020,Lehigh,Johns Hopkins,12,2
UMBC Safari Party 2020,College,248498,Syracuse,13,Salisbury,2,1/1/20,Women,0,2020,Syracuse,Salisbury,13,2
UMBC Safari Party 2020,College,248499,Maryland-Baltimore County,11,Lehigh B,4,1/1/20,Women,0,2020,Maryland-Baltimore County,Lehigh B,11,4
UMBC Safari Party 2020,College,248500,Lehigh,7,Syracuse,4,1/1/20,Women,0,2020,Lehigh,Syracuse,7,4
UMBC Safari Party 2020,College,248501,Johns Hopkins,3,Maryland-Baltimore County,9,1/1/20,Women,0,2020,Maryland-Baltimore County,Johns Hopkins,9,3
UMBC Safari Party 2020,College,248502,Salisbury,3,Lehigh B,9,1/1/20,Women,0,2020,Lehigh B,Salisbury,9,3
UMBC Safari Party 2020,College,248503,Lehigh,9,Maryland-Baltimore County,3,1/1/20,Women,0,2020,Lehigh,Maryland-Baltimore County,9,3
UMBC Safari Party 2020,College,248504,Syracuse,10,Lehigh B,4,1/1/20,Women,0,2020,Syracuse,Lehigh B,10,4
UMBC Safari Party 2020,College,248505,Johns Hopkins,9,Salisbury,4,1/1/20,Women,0,2020,Johns Hopkins,Salisbury,9,4
UMBC Safari Party 2020,College,248506,Lehigh,7,Lehigh B,2,1/1/20,Women,0,2020,Lehigh,Lehigh B,7,2
UMBC Safari Party 2020,College,248507,Syracuse,12,Johns Hopkins,4,1/1/20,Women,0,2020,Syracuse,Johns Hopkins,12,4
UMBC Safari Party 2020,College,248508,Maryland-Baltimore County,13,Salisbury,1,1/1/20,Women,0,2020,Maryland-Baltimore County,Salisbury,13,1
UMBC Safari Party 2020,College,248509,Lehigh,13,Salisbury,0,1/1/20,Women,0,2020,Lehigh,Salisbury,13,0
UMBC Safari Party 2020,College,248510,Syracuse,11,Maryland-Baltimore County,6,1/1/20,Women,0,2020,Syracuse,Maryland-Baltimore County,11,6
UMBC Safari Party 2020,College,248511,Johns Hopkins,7,Lehigh B,4,1/1/20,Women,0,2020,Johns Hopkins,Lehigh B,7,4
UMBC Safari Party 2020,College,248512,Lehigh B,9,Salisbury,7,1/1/20,Women,0,2020,Lehigh B,Salisbury,9,7
UMBC Safari Party 2020,College,248513,SUNY-Buffalo,2,Salisbury,11,1/1/20,Women,0,2020,Salisbury,SUNY-Buffalo,11,2
Forever Winter 2020,College,248635,St Olaf,13,Michigan Tech,5,1/1/20,Women,0,2020,St Olaf,Michigan Tech,13,5
Forever Winter 2020,College,248636,Carleton College,13,Macalester,2,1/1/20,Women,0,2020,Carleton College,Macalester,13,2
Forever Winter 2020,College,248637,Michigan Tech,13,Wisconsin-La Crosse,5,1/1/20,Women,0,2020,Michigan Tech,Wisconsin-La Crosse,13,5
Forever Winter 2020,College,248638,St Olaf,7,Carleton College,6,1/1/20,Women,0,2020,St Olaf,Carleton College,7,6
Forever Winter 2020,College,248639,Wisconsin-La Crosse,6,Macalester,9,1/1/20,Women,0,2020,Macalester,Wisconsin-La Crosse,9,6
Forever Winter 2020,College,248640,Carleton College,9,Michigan Tech,4,1/1/20,Women,0,2020,Carleton College,Michigan Tech,9,4
Forever Winter 2020,College,248641,St Olaf,13,Wisconsin-La Crosse,1,1/1/20,Women,0,2020,St Olaf,Wisconsin-La Crosse,13,1
Forever Winter 2020,College,248642,Michigan Tech,11,Macalester,5,1/1/20,Women,0,2020,Michigan Tech,Macalester,11,5
Forever Winter 2020,College,248643,St Olaf,12,Macalester,3,1/1/20,Women,0,2020,St Olaf,Macalester,12,3
Forever Winter 2020,College,248644,Carleton College,12,Wisconsin-La Crosse,2,1/1/20,Women,0,2020,Carleton College,Wisconsin-La Crosse,12,2
TOTs 2020,College,248645,Purdue,7,Tennessee,8,1/1/20,Women,0,2020,Tennessee,Purdue,8,7
TOTs 2020,College,248648,Alabama-Huntsville,6,Tennessee,7,1/1/20,Women,0,2020,Tennessee,Alabama-Huntsville,7,6
TOTs 2020,College,248649,Purdue,11,Alabama-Huntsville,3,1/1/20,Women,0,2020,Purdue,Alabama-Huntsville,11,3
TOTs 2020,College,248651,Virginia Tech,5,Georgia College,7,1/1/20,Women,0,2020,Georgia College,Virginia Tech,7,5
TOTs 2020,College,248652,Mississippi,8,Kentucky,3,1/1/20,Women,0,2020,Mississippi,Kentucky,8,3
TOTs 2020,College,248653,Virginia Tech,7,Kentucky,4,1/1/20,Women,0,2020,Virginia Tech,Kentucky,7,4
TOTs 2020,College,248654,Mississippi,8,Georgia College,3,1/1/20,Women,0,2020,Mississippi,Georgia College,8,3
TOTs 2020,College,248655,Virginia Tech,4,Mississippi,8,1/1/20,Women,0,2020,Mississippi,Virginia Tech,8,4
TOTs 2020,College,248656,Georgia College,5,Kentucky,8,1/1/20,Women,0,2020,Kentucky,Georgia College,8,5
TOTs 2020,College,248658,Mississippi,9,Tennessee,6,1/1/20,Women,0,2020,Mississippi,Tennessee,9,6
TOTs 2020,College,248659,Purdue,9,Kentucky,8,1/1/20,Women,0,2020,Purdue,Kentucky,9,8
TOTs 2020,College,248660,Virginia Tech,11,Alabama-Huntsville,6,1/1/20,Women,0,2020,Virginia Tech,Alabama-Huntsville,11,6
TOTs 2020,College,248662,Virginia Tech,13,Purdue,12,3/1/20,Women,0,2020,Virginia Tech,Purdue,13,12
TOTs 2020,College,248663,Tennessee,13,Georgia College,6,3/1/20,Women,0,2020,Tennessee,Georgia College,13,6
TOTs 2020,College,248664,Mississippi,13,Alabama-Huntsville,5,3/1/20,Women,0,2020,Mississippi,Alabama-Huntsville,13,5
TOTs 2020,College,248666,Tennessee,13,Mississippi,3,3/1/20,Women,0,2020,Tennessee,Mississippi,13,3
TOTs 2020,College,248668,Kentucky,13,Purdue,10,3/1/20,Women,0,2020,Kentucky,Purdue,13,10
TOTs 2020,College,248669,Georgia College,9,Alabama-Huntsville,11,3/1/20,Women,0,2020,Alabama-Huntsville,Georgia College,11,9
TOTs 2020,College,248670,Kentucky,11,Alabama-Huntsville,10,3/1/20,Women,0,2020,Kentucky,Alabama-Huntsville,11,10
TOTs 2020,College,248671,Virginia Tech,9,Mississippi,7,3/1/20,Women,0,2020,Virginia Tech,Mississippi,9,7
Commonwealth Cup 2020 Weekend 2,College,248678,Harvard,3,Duke,15,1/1/20,Women,0,2020,Duke,Harvard,15,3
Commonwealth Cup 2020 Weekend 2,College,248679,Brown,2,Duke,15,1/1/20,Women,0,2020,Duke,Brown,15,2
Commonwealth Cup 2020 Weekend 2,College,248680,Brown,14,Harvard,5,1/1/20,Women,0,2020,Brown,Harvard,14,5
2020 Women's BBQ,College,248735,Portland State,9,Western Washington B,13,3/1/20,Women,0,2020,Western Washington B,Portland State,13,9
2020 Women's BBQ,College,248736,Seattle,11,Washington B,13,3/1/20,Women,0,2020,Washington B,Seattle,13,11
Bring The Huckus 10 2020,College,248744,Skidmore,13,NYU,3,1/1/20,Women,0,2020,Skidmore,NYU,13,3
Bring The Huckus 10 2020,College,248745,NYU,10,Amherst College,4,1/1/20,Women,0,2020,NYU,Amherst College,10,4
Bring The Huckus 10 2020,College,248746,Ithaca,4,Haverford/Bryn Mawr,13,1/1/20,Women,0,2020,Haverford/Bryn Mawr,Ithaca,13,4
