event,division,game_id,team_1,team_1_score,team_2,team_2_score,game_date
Cal States 2015,Club - Men,74126,Gridlock,7,Renegade,13,2015-06-06
Cal States 2015,Club - Men,74127,Oaks,6,Sons,13,2015-06-06
Cal States 2015,Club - Men,74128,Journeymen,7,Frisbee Football All Stars,13,2015-06-06
Cal States 2015,Club - Men,74129,Boost FC,13,Sons,7,2015-06-06
Cal States 2015,Club - Men,74130,Journeymen,6,Renegade,13,2015-06-06
Cal States 2015,Club - Men,74131,Oaks,10,Frisbee Football All Stars,11,2015-06-06
Cal States 2015,Club - Men,74132,Oaks,6,Renegade,13,2015-06-06
Cal States 2015,Club - Men,74133,Boost FC,13,Journeymen,2,2015-06-06
Cal States 2015,Club - Men,74134,Gridlock,12,Frisbee Football All Stars,11,2015-06-06
Cal States 2015,Club - Men,74135,Sons,8,Renegade,13,2015-06-06
Cal States 2015,Club - Men,74136,Boost FC,13,Gridlock,6,2015-06-06
Cal States 2015,Club - Men,74137,Sons,12,Gridlock,8,2015-06-06
Cal States 2015,Club - Men,74138,Boost FC,13,Frisbee Football All Stars,6,2015-06-06
Cal States 2015,Club - Men,74139,Journeymen,12,Oaks,8,2015-06-06
Cal States 2015,Club - Men,74286,Renegade,13,Frisbee Football All Stars,3,2015-06-07
Cal States 2015,Club - Men,74287,Boost FC,13,Oaks,5,2015-06-07
Cal States 2015,Club - Men,74288,Journeymen,10,Gridlock,11,2015-06-07
Cal States 2015,Club - Men,74289,Sons,13,Frisbee Football All Stars,6,2015-06-07
Cal States 2015,Club - Men,74290,Boost FC,13,Renegade,10,2015-06-07
Cal States 2015,Club - Men,74291,Journeymen,5,Sons,13,2015-06-07
Cal States 2015,Club - Men,74292,Oaks,12,Gridlock,6,2015-06-07
Cal States 2015,Club - Mixed,74102,Classy,11,Turnip The Beets,6,2015-06-06
Cal States 2015,Club - Mixed,74103,Mischief,13,Classy,3,2015-06-06
Cal States 2015,Club - Mixed,74104,Capitol Punishment,9,Classy,11,2015-06-06
Cal States 2015,Club - Mixed,74105,Mischief,13,Turnip The Beets,5,2015-06-06
Cal States 2015,Club - Mixed,74106,Capitol Punishment,7,Turnip The Beets,9,2015-06-06
Cal States 2015,Club - Mixed,74107,Mischief,13,Capitol Punishment,5,2015-06-06
Cal States 2015,Club - Mixed,74108,Naughty Love,8,Platypi,13,2015-06-06
Cal States 2015,Club - Mixed,74109,Polar Bears,12,Naughty Love,10,2015-06-06
Cal States 2015,Club - Mixed,74110,Polar Bears,10,Platypi,9,2015-06-06
Cal States 2015,Club - Mixed,74111,Alchemy,11,Naughty Love,4,2015-06-06
Cal States 2015,Club - Mixed,74112,Alchemy,5,Platypi,7,2015-06-06
Cal States 2015,Club - Mixed,74113,Polar Bears,12,Alchemy,8,2015-06-06
Cal States 2015,Club - Mixed,74114,DR,11,Family Style,7,2015-06-06
Cal States 2015,Club - Mixed,74115,American Barbecue,10,DR,7,2015-06-06
Cal States 2015,Club - Mixed,74116,American Barbecue,12,Family Style,6,2015-06-06
Cal States 2015,Club - Mixed,74117,BW Ultimate,13,DR,2,2015-06-06
Cal States 2015,Club - Mixed,74118,BW Ultimate,12,Family Style,3,2015-06-06
Cal States 2015,Club - Mixed,74119,American Barbecue,11,BW Ultimate,4,2015-06-06
Cal States 2015,Club - Mixed,74120,Feral Cows Cal States 2015,9,Ursa Major,12,2015-06-06
Cal States 2015,Club - Mixed,74121,Dorado,13,Feral Cows Cal States 2015,1,2015-06-06
Cal States 2015,Club - Mixed,74122,Dorado,13,Ursa Major,4,2015-06-06
Cal States 2015,Club - Mixed,74123,Groove,13,Feral Cows Cal States 2015,3,2015-06-06
Cal States 2015,Club - Mixed,74124,Groove,13,Ursa Major,2,2015-06-06
Cal States 2015,Club - Mixed,74125,Dorado,9,Groove,7,2015-06-06
Cal States 2015,Club - Mixed,74862,Mischief,13,Polar Bears,10,2015-06-07
Cal States 2015,Club - Mixed,74860,Mischief,15,Alchemy,4,2015-06-07
Cal States 2015,Club - Mixed,74861,American Barbecue,8,Polar Bears,11,2015-06-07
Cal States 2015,Club - Mixed,74863,Mischief,13,Platypi,9,2015-06-07
Cal States 2015,Club - Mixed,74864,Dorado,5,Alchemy,10,2015-06-07
Cal States 2015,Club - Mixed,74865,American Barbecue,13,Groove,9,2015-06-07
Cal States 2015,Club - Mixed,74866,Polar Bears,12,Classy,6,2015-06-07
Cal States 2015,Club - Mixed,74867,Platypi,11,DR,8,2015-06-07
Cal States 2015,Club - Mixed,74868,BW Ultimate,9,Alchemy,12,2015-06-07
Cal States 2015,Club - Mixed,74869,Turnip The Beets,3,Groove,13,2015-06-07
Cal States 2015,Club - Mixed,74870,Ursa Major,5,Classy,14,2015-06-07
Cal States 2015,Club - Mixed,74872,Polar Bears,F,American Barbecue,F,2015-06-07
Cal States 2015,Club - Mixed,74871,Alchemy,4,American Barbecue,14,2015-06-07
Cal States 2015,Club - Mixed,74875,Dorado,8,Groove,11,2015-06-07
Cal States 2015,Club - Mixed,74876,Platypi,8,Dorado,15,2015-06-07
Cal States 2015,Club - Mixed,74877,Groove,9,Classy,8,2015-06-07
Cal States 2015,Club - Mixed,74878,Platypi,9,Classy,10,2015-06-07
Cal States 2015,Club - Mixed,74881,BW Ultimate,11,Ursa Major,8,2015-06-07
Cal States 2015,Club - Mixed,74879,DR,11,BW Ultimate,12,2015-06-07
Cal States 2015,Club - Mixed,74880,Turnip The Beets,8,Ursa Major,10,2015-06-07
Cal States 2015,Club - Mixed,74882,DR,13,Turnip The Beets,9,2015-06-07
Cal States 2015,Club - Mixed,74885,Capitol Punishment,7,Family Style,9,2015-06-07
Cal States 2015,Club - Mixed,74883,Capitol Punishment,13,Feral Cows Cal States 2015,10,2015-06-07
Cal States 2015,Club - Mixed,74884,Family Style,12,Naughty Love,10,2015-06-07
Cal States 2015,Club - Mixed,74886,Capitol Punishment,6,Naughty Love,9,2015-06-07
Cal States 2015,Club - Mixed,74887,Feral Cows Cal States 2015,4,Naughty Love,15,2015-06-07
2015 Fort Collins Solstice Ultimate Tournament,Club - Men,74888,Inception,13,Colorado Cutthroat,4,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Men,74889,Old Ephraim,6,Vertigo,13,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Men,74890,Inception,13,Old Ephraim,5,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Men,74891,SmokeStack,11,Vertigo,5,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Men,74892,Vertigo,5,Colorado Cutthroat,13,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Men,74893,SmokeStack,9,Old Ephraim,8,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Men,74894,Inception,13,Vertigo,2,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Men,74895,SmokeStack,13,Colorado Cutthroat,6,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Men,74896,Inception,13,SmokeStack,4,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Men,74897,Old Ephraim,8,Colorado Cutthroat,13,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Men,74898,Johnny Encore,13,Lincoln Prep,10,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Men,74899,Spirit Quest,1,Buds,13,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Men,74900,Johnny Encore,13,Spirit Quest,1,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Men,74901,Choice City Hops,13,Buds,6,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Men,74902,Buds,10,Lincoln Prep,9,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Men,74903,Choice City Hops,13,Spirit Quest,3,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Men,74904,Johnny Encore,13,Buds,4,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Men,74905,Choice City Hops,13,Lincoln Prep,2,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Men,74906,Johnny Encore,13,Choice City Hops,9,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Men,74907,Spirit Quest,2,Lincoln Prep,13,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Men,75106,Inception,12,Johnny Encore,15,2015-06-21
2015 Fort Collins Solstice Ultimate Tournament,Club - Men,75104,Choice City Hops,9,Inception,13,2015-06-21
2015 Fort Collins Solstice Ultimate Tournament,Club - Men,75105,Johnny Encore,13,SmokeStack,9,2015-06-21
2015 Fort Collins Solstice Ultimate Tournament,Club - Men,75102,Colorado Cutthroat,4,Choice City Hops,13,2015-06-21
2015 Fort Collins Solstice Ultimate Tournament,Club - Men,75103,Buds,8,SmokeStack,9,2015-06-21
2015 Fort Collins Solstice Ultimate Tournament,Club - Men,75107,Choice City Hops,9,SmokeStack,5,2015-06-21
2015 Fort Collins Solstice Ultimate Tournament,Club - Men,75108,Buds,7,Colorado Cutthroat,10,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Men,75111,Vertigo,9,Lincoln Prep,10,2015-06-21
2015 Fort Collins Solstice Ultimate Tournament,Club - Men,75109,Vertigo,11,Spirit Quest,9,2015-06-21
2015 Fort Collins Solstice Ultimate Tournament,Club - Men,75110,Lincoln Prep,13,Old Ephraim,6,2015-06-21
2015 Fort Collins Solstice Ultimate Tournament,Club - Men,75112,Old Ephraim,8,Spirit Quest,10,2015-06-21
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74619,RUA,9,Del Sol,6,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74620,Sweet Action,13,Spring ReLoaded,7,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74621,Bozos,11,Mixtape,6,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74622,RUA,13,Spring ReLoaded,4,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74623,Del Sol,8,Mixtape,10,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74624,Sweet Action,11,Bozos,7,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74625,RUA,9,Sweet Action,11,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74626,Del Sol,11,Bozos,5,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74627,Spring ReLoaded,13,Mixtape,9,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74628,RUA,10,Bozos,4,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74629,Sweet Action,13,Mixtape,7,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74630,Del Sol,9,Spring ReLoaded,11,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74631,RUA,13,Mixtape,8,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74632,Sweet Action,7,Del Sol,11,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74633,Bozos,13,Spring ReLoaded,7,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74634,Love Tractor,13,Mesteño,10,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74635,shame.,13,The Strangers,5,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74636,Spikes Peak,13,Force Collins,3,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74637,Mesteño,13,Force Collins,8,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74638,shame.,11,Spikes Peak,9,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74639,Love Tractor,13,The Strangers,6,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74640,Love Tractor,8,shame.,10,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74641,Mesteño,10,Spikes Peak,7,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74642,The Strangers,13,Force Collins,8,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74643,Love Tractor,11,Spikes Peak,6,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74644,shame.,13,Force Collins,2,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74645,Mesteño,13,The Strangers,2,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74646,Love Tractor,13,Force Collins,9,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74647,shame.,10,Mesteño,8,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74648,Spikes Peak,11,The Strangers,7,2015-06-20
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74655,Love Tractor,15,shame.,10,2015-06-21
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74653,Sweet Action,3,Love Tractor,13,2015-06-21
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74654,RUA,10,shame.,12,2015-06-21
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74649,Sweet Action,10,Spikes Peak,8,2015-06-21
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74650,Love Tractor,13,Del Sol,8,2015-06-21
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74651,RUA,11,Mesteño,5,2015-06-21
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74652,shame.,11,Bozos,10,2015-06-21
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74658,Spikes Peak,12,Bozos,4,2015-06-21
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74656,Spikes Peak,9,Del Sol,7,2015-06-21
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74657,Mesteño,10,Bozos,11,2015-06-21
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74659,Sweet Action,3,RUA,13,2015-06-21
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74660,Del Sol,5,Mesteño,9,2015-06-21
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74663,Spring ReLoaded,7,The Strangers,11,2015-06-21
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74661,Spring ReLoaded,13,Force Collins,7,2015-06-21
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74662,Mixtape,6,The Strangers,12,2015-06-21
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74665,Mixtape,4,Spring ReLoaded,9,2015-06-21
2015 Fort Collins Solstice Ultimate Tournament,Club - Mixed,74664,Force Collins,8,Mixtape,9,2015-06-21
Eugene Summer Solstice #37,Club - Men,75340,Snorkel Kittens,13,PTC,1,2015-06-20
Eugene Summer Solstice #37,Club - Men,75341,Rip City Ultimate Club Team,8,Bulldawg Ultimate,9,2015-06-20
Eugene Summer Solstice #37,Club - Men,75342,Snorkel Kittens,13,Rip City Ultimate Club Team,10,2015-06-20
Eugene Summer Solstice #37,Club - Men,75343,Dark Star,13,Bulldawg Ultimate,8,2015-06-20
Eugene Summer Solstice #37,Club - Men,75344,Bulldawg Ultimate,11,PTC,8,2015-06-20
Eugene Summer Solstice #37,Club - Men,75345,Dark Star,11,Rip City Ultimate Club Team,10,2015-06-20
Eugene Summer Solstice #37,Club - Men,75346,Snorkel Kittens,13,Bulldawg Ultimate,2,2015-06-20
Eugene Summer Solstice #37,Club - Men,75347,Dark Star,13,PTC,3,2015-06-20
Eugene Summer Solstice #37,Club - Men,75348,Snorkel Kittens,W,Dark Star,L,2015-06-20
Eugene Summer Solstice #37,Club - Men,75349,Rip City Ultimate Club Team,13,PTC,7,2015-06-20
Eugene Summer Solstice #37,Club - Men,75360,Voodoo,13,Blackfish,7,2015-06-20
Eugene Summer Solstice #37,Club - Men,75361,Larry,13,,6,2015-06-20
Eugene Summer Solstice #37,Club - Men,75362,Voodoo,13,,5,2015-06-20
Eugene Summer Solstice #37,Club - Men,75363,Larry,13,Blackfish,7,2015-06-20
Eugene Summer Solstice #37,Club - Men,75364,Voodoo,7,Larry,13,2015-06-20
Eugene Summer Solstice #37,Club - Men,75365,Blackfish,13,,8,2015-06-20
Eugene Summer Solstice #37,Club - Men,75639,Warchild,12,Dim Sun,15,2015-06-20
Eugene Summer Solstice #37,Club - Men,75640,Ghost Train,13,Flatline,9,2015-06-20
Eugene Summer Solstice #37,Club - Men,75641,Warchild,15,Flatline,9,2015-06-20
Eugene Summer Solstice #37,Club - Men,75642,Ghost Train,15,Dim Sun,9,2015-06-20
Eugene Summer Solstice #37,Club - Men,75643,Warchild,9,Ghost Train,15,2015-06-20
Eugene Summer Solstice #37,Club - Men,75644,Dim Sun,15,Flatline,6,2015-06-20
Eugene Summer Solstice #37,Club - Men,75645,Blackfish,14,Warchild,15,2015-06-20
Eugene Summer Solstice #37,Club - Men,75646,,12,Flatline,13,2015-06-20
Eugene Summer Solstice #37,Club - Men,75703,Snorkel Kittens,13,Larry,7,2015-06-21
Eugene Summer Solstice #37,Club - Men,75701,Snorkel Kittens,13,Ghost Train,9,2015-06-21
Eugene Summer Solstice #37,Club - Men,75702,Larry,13,Warchild,9,2015-06-21
Eugene Summer Solstice #37,Club - Men,75697,Bulldawg Ultimate,4,Snorkel Kittens,13,2015-06-21
Eugene Summer Solstice #37,Club - Men,75698,Rip City Ultimate Club Team,7,Ghost Train,10,2015-06-21
Eugene Summer Solstice #37,Club - Men,75699,Blackfish,5,Larry,13,2015-06-21
Eugene Summer Solstice #37,Club - Men,75700,Warchild,13,Dark Star,11,2015-06-21
Eugene Summer Solstice #37,Club - Men,75693,Bulldawg Ultimate,11,Flatline,9,2015-06-21
Eugene Summer Solstice #37,Club - Men,75694,Voodoo,10,Rip City Ultimate Club Team,12,2015-06-21
Eugene Summer Solstice #37,Club - Men,75695,Dim Sun,10,Blackfish,11,2015-06-21
Eugene Summer Solstice #37,Club - Men,75696,Warchild,15,PTC,8,2015-06-21
Eugene Summer Solstice #37,Club - Men,75704,Ghost Train,W,Warchild,L,2015-06-21
Eugene Summer Solstice #37,Club - Men,75707,Blackfish,7,Rip City Ultimate Club Team,11,2015-06-21
Eugene Summer Solstice #37,Club - Men,75705,Blackfish,13,Dark Star,9,2015-06-21
Eugene Summer Solstice #37,Club - Men,75706,Bulldawg Ultimate,8,Rip City Ultimate Club Team,11,2015-06-21
Eugene Summer Solstice #37,Club - Men,75708,Dark Star,W,Bulldawg Ultimate,L,2015-06-21
Eugene Summer Solstice #37,Club - Men,75711,Flatline,6,Voodoo,13,2015-06-21
Eugene Summer Solstice #37,Club - Men,75709,Flatline,13,PTC,7,2015-06-21
Eugene Summer Solstice #37,Club - Men,75710,Voodoo,W,Dim Sun,L,2015-06-21
Eugene Summer Solstice #37,Club - Men,75712,PTC,9,Dim Sun,13,2015-06-21
Eugene Summer Solstice #37,Club - Women,75234,Nightlock,13,Ivy,1,2015-06-20
Eugene Summer Solstice #37,Club - Women,75240,Elevate,9,Seattle Grind,8,2015-06-20
Eugene Summer Solstice #37,Club - Women,75238,Nightlock,13,Seattle Grind,6,2015-06-20
Eugene Summer Solstice #37,Club - Women,75235,Ivy,4,Seattle Grind,12,2015-06-20
Eugene Summer Solstice #37,Club - Women,75232,Elevate,W,Ivy,L,2015-06-20
Eugene Summer Solstice #37,Club - Women,75236,Nightlock,13,Elevate,2,2015-06-20
Eugene Summer Solstice #37,Club - Women,75237,U23 Women's National Team,13,Ivy,3,2015-06-20
Eugene Summer Solstice #37,Club - Women,75233,U23 Women's National Team,13,Elevate,4,2015-06-20
Eugene Summer Solstice #37,Club - Women,75239,U23 Women's National Team,12,Nightlock,7,2015-06-20
Eugene Summer Solstice #37,Club - Women,75244,Schwa,13,Tempo,0,2015-06-20
Eugene Summer Solstice #37,Club - Women,75250,Viva,11,LoCo,9,2015-06-20
Eugene Summer Solstice #37,Club - Women,75248,Schwa,13,LoCo,9,2015-06-20
Eugene Summer Solstice #37,Club - Women,75245,Tempo,5,LoCo,13,2015-06-20
Eugene Summer Solstice #37,Club - Women,75242,Viva,13,Tempo,2,2015-06-20
Eugene Summer Solstice #37,Club - Women,75246,Schwa,10,Viva,5,2015-06-20
Eugene Summer Solstice #37,Club - Women,75247,Team Canada U23 - Women,13,Tempo,4,2015-06-20
Eugene Summer Solstice #37,Club - Women,75243,Team Canada U23 - Women,9,Viva,8,2015-06-20
Eugene Summer Solstice #37,Club - Women,75249,Team Canada U23 - Women,L,Schwa,W,2015-06-20
Eugene Summer Solstice #37,Club - Women,75251,Fury,13,Deadly Viper Assassination Squad,1,2015-06-20
Eugene Summer Solstice #37,Club - Women,75252,Venom,13,Wendigo,1,2015-06-20
Eugene Summer Solstice #37,Club - Women,75253,Fury,13,Venom,3,2015-06-20
Eugene Summer Solstice #37,Club - Women,75254,Underground,13,Wendigo,0,2015-06-20
Eugene Summer Solstice #37,Club - Women,75255,Wendigo,4,Deadly Viper Assassination Squad,12,2015-06-20
Eugene Summer Solstice #37,Club - Women,75256,Underground,13,Venom,4,2015-06-20
Eugene Summer Solstice #37,Club - Women,75257,Fury,13,Wendigo,0,2015-06-20
Eugene Summer Solstice #37,Club - Women,75258,Underground,13,Deadly Viper Assassination Squad,0,2015-06-20
Eugene Summer Solstice #37,Club - Women,75259,Fury,12,Underground,6,2015-06-20
Eugene Summer Solstice #37,Club - Women,75260,Venom,8,Deadly Viper Assassination Squad,5,2015-06-20
Eugene Summer Solstice #37,Club - Women,75261,Seattle Riot,15,Wildfire,5,2015-06-20
Eugene Summer Solstice #37,Club - Women,75262,Shotgun Betty,13,Zephyr,10,2015-06-20
Eugene Summer Solstice #37,Club - Women,75263,Seattle Riot,15,Zephyr,1,2015-06-20
Eugene Summer Solstice #37,Club - Women,75264,Shotgun Betty,9,Wildfire,13,2015-06-20
Eugene Summer Solstice #37,Club - Women,75265,Seattle Riot,15,Shotgun Betty,3,2015-06-20
Eugene Summer Solstice #37,Club - Women,75266,Wildfire,14,Zephyr,8,2015-06-20
Eugene Summer Solstice #37,Club - Women,75792,Ivy,9,Tempo,13,2015-06-21
Eugene Summer Solstice #37,Club - Women,75793,Wendigo,5,Tempo,13,2015-06-21
Eugene Summer Solstice #37,Club - Women,75794,Wendigo,12,Ivy,8,2015-06-21
Eugene Summer Solstice #37,Club - Women,75288,U23 Women's National Team,9,Schwa,11,2015-06-21
Eugene Summer Solstice #37,Club - Women,75291,Team Canada U23 - Women,13,Wildfire,4,2015-06-21
Eugene Summer Solstice #37,Club - Women,75289,Nightlock,6,Team Canada U23 - Women,8,2015-06-21
Eugene Summer Solstice #37,Club - Women,75290,Underground,9,Wildfire,10,2015-06-21
Eugene Summer Solstice #37,Club - Women,75677,Nightlock,13,Underground,11,2015-06-21
Eugene Summer Solstice #37,Club - Women,75723,Seattle Riot,14,Fury,16,2015-06-21
Eugene Summer Solstice #37,Club - Women,75721,Schwa,7,Seattle Riot,13,2015-06-21
Eugene Summer Solstice #37,Club - Women,75722,U23 Women's National Team,4,Fury,13,2015-06-21
Eugene Summer Solstice #37,Club - Women,75717,Schwa,10,Nightlock,8,2015-06-21
Eugene Summer Solstice #37,Club - Women,75718,Seattle Riot,13,Team Canada U23 - Women,5,2015-06-21
Eugene Summer Solstice #37,Club - Women,75719,U23 Women's National Team,12,Underground,7,2015-06-21
Eugene Summer Solstice #37,Club - Women,75720,Fury,13,Wildfire,2,2015-06-21
Eugene Summer Solstice #37,Club - Women,75713,Nightlock,11,Shotgun Betty,7,2015-06-21
Eugene Summer Solstice #37,Club - Women,75714,Team Canada U23 - Women,W,Venom,L,2015-06-21
Eugene Summer Solstice #37,Club - Women,75715,Underground,13,Viva,7,2015-06-21
Eugene Summer Solstice #37,Club - Women,75716,Wildfire,13,Elevate,2,2015-06-21
Eugene Summer Solstice #37,Club - Women,75283,Zephyr,7,Viva,10,2015-06-21
Eugene Summer Solstice #37,Club - Women,75281,Shotgun Betty,7,Zephyr,12,2015-06-21
Eugene Summer Solstice #37,Club - Women,75282,Viva,8,Deadly Viper Assassination Squad,6,2015-06-21
Eugene Summer Solstice #37,Club - Women,75278,Venom,5,Zephyr,9,2015-06-21
Eugene Summer Solstice #37,Club - Women,75279,Viva,11,Seattle Grind,5,2015-06-21
Eugene Summer Solstice #37,Club - Women,75280,Elevate,7,Deadly Viper Assassination Squad,10,2015-06-21
Eugene Summer Solstice #37,Club - Women,75674,Shotgun Betty,11,LoCo,10,2015-06-21
Eugene Summer Solstice #37,Club - Women,75284,LoCo,8,Seattle Grind,11,2015-06-21
Eugene Summer Solstice #37,Club - Women,75675,LoCo,13,Venom,6,2015-06-21
Eugene Summer Solstice #37,Club - Women,75676,Elevate,5,Seattle Grind,13,2015-06-21
Eugene Summer Solstice #37,Club - Women,75678,Shotgun Betty,F,Deadly Viper Assassination Squad,W,2015-06-21
Eugene Summer Solstice #37,Club - Women,75679,Venom,F,Elevate,F,2015-06-21
ATL Classic 2015,Club - Men,75113,Cash Crop,13,NME,11,2015-06-20
ATL Classic 2015,Club - Men,75114,gunshrimp,11,Cerberus,10,2015-06-20
ATL Classic 2015,Club - Men,75115,Cash Crop,13,Cerberus,9,2015-06-20
ATL Classic 2015,Club - Men,75116,gunshrimp,5,NME,13,2015-06-20
ATL Classic 2015,Club - Men,75117,Cash Crop,13,gunshrimp,6,2015-06-20
ATL Classic 2015,Club - Men,75118,NME,13,Cerberus,7,2015-06-20
ATL Classic 2015,Club - Men,75119,Freaks Uv Nature,13,Memphis Belle,3,2015-06-20
ATL Classic 2015,Club - Men,75120,UpRoar,13,Hammer Bros,3,2015-06-20
ATL Classic 2015,Club - Men,75121,Freaks Uv Nature,13,Hammer Bros,1,2015-06-20
ATL Classic 2015,Club - Men,75122,UpRoar,10,Memphis Belle,8,2015-06-20
ATL Classic 2015,Club - Men,75123,Freaks Uv Nature,13,UpRoar,7,2015-06-20
ATL Classic 2015,Club - Men,75124,Memphis Belle,13,Hammer Bros,6,2015-06-20
ATL Classic 2015,Club - Men,75125,Southern Hospitality,13,ATLiens,4,2015-06-20
ATL Classic 2015,Club - Men,75126,Lost Boys,13,SouthBeast,0,2015-06-20
ATL Classic 2015,Club - Men,75127,Southern Hospitality,13,SouthBeast,5,2015-06-20
ATL Classic 2015,Club - Men,75128,Lost Boys,8,ATLiens,10,2015-06-20
ATL Classic 2015,Club - Men,75129,Southern Hospitality,13,Lost Boys,7,2015-06-20
ATL Classic 2015,Club - Men,75130,ATLiens,13,SouthBeast,2,2015-06-20
ATL Classic 2015,Club - Men,75131,Bullet,9,Vicious Cycle,8,2015-06-20
ATL Classic 2015,Club - Men,75132,Ironmen,12,Jello Yackets,6,2015-06-20
ATL Classic 2015,Club - Men,75133,Bullet,13,Jello Yackets,5,2015-06-20
ATL Classic 2015,Club - Men,75134,Ironmen,11,Vicious Cycle,9,2015-06-20
ATL Classic 2015,Club - Men,75135,Bullet,9,Ironmen,10,2015-06-20
ATL Classic 2015,Club - Men,75136,Vicious Cycle,8,Jello Yackets,10,2015-06-20
ATL Classic 2015,Club - Men,75137,NME,10,Lost Boys,9,2015-06-21
ATL Classic 2015,Club - Men,75138,gunshrimp,7,ATLiens,13,2015-06-21
ATL Classic 2015,Club - Men,75139,UpRoar,13,Jello Yackets,5,2015-06-21
ATL Classic 2015,Club - Men,75140,Memphis Belle,7,Bullet,12,2015-06-21
ATL Classic 2015,Club - Men,75147,Ironmen,9,Southern Hospitality,11,2015-06-21
